flight_number,aircraft_tail,origin_iata,destination_iata,scheduled_departure,scheduled_arrival,hour_of_day,day_of_week,is_weekend,month,turnaround_time_min,dep_temperature_c,dep_wind_speed_kmh,dep_visibility_m,dep_humidity_pct,dep_congestion_ratio
FL1000,VT-001,MAA,CCU,2026-04-01 03:00:00,2026-04-01 05:13:00,3,2,0,4,33,31.99,19.64,6789.27,47.8,0.41
FL1001,VT-001,CCU,DEL,2026-04-01 05:46:00,2026-04-01 07:58:00,5,2,0,4,88,29.45,6.16,8929.41,70.06,0.8
FL1002,VT-001,DEL,BOM,2026-04-01 09:26:00,2026-04-01 10:26:00,9,2,0,4,61,28.12,8.64,3467.24,55.21,0.67
FL1003,VT-001,MAA,CCU,2026-04-01 19:27:00,2026-04-01 20:49:00,19,2,0,4,81,32.17,13.64,4329.83,70.59,0.4
FL1004,VT-001,CCU,DEL,2026-04-01 22:10:00,2026-04-02 00:07:00,22,2,0,4,34,26.37,14.12,8281.41,49.98,0.66
FL1005,VT-001,DEL,BOM,2026-04-02 00:41:00,2026-04-02 02:49:00,0,3,0,4,33,24.35,16.85,2371.6,70.38,0.42
FL1006,VT-001,MAA,CCU,2026-04-02 11:22:00,2026-04-02 13:25:00,11,3,0,4,73,27.6,18.68,5521.22,46.1,0.65
FL1007,VT-001,CCU,DEL,2026-04-02 14:38:00,2026-04-02 16:06:00,14,3,0,4,87,28.83,5.69,9274.56,52.94,0.76
FL1008,VT-001,DEL,BOM,2026-04-02 17:33:00,2026-04-02 19:00:00,17,3,0,4,69,30.84,15.93,3478.84,88.48,0.84
FL1009,VT-001,MAA,CCU,2026-04-03 04:09:00,2026-04-03 05:59:00,4,4,0,4,46,22.16,23.79,9158.62,69.89,0.95
FL1010,VT-001,CCU,DEL,2026-04-03 06:45:00,2026-04-03 07:49:00,6,4,0,4,70,29.54,12.77,4170.79,81.44,0.55
FL1011,VT-001,DEL,BOM,2026-04-03 08:59:00,2026-04-03 11:09:00,8,4,0,4,77,28.8,10.62,6341.57,47.05,0.86
FL1012,VT-001,MAA,CCU,2026-04-03 20:26:00,2026-04-03 22:10:00,20,4,0,4,77,27.29,5.11,8523.69,75.34,0.81
FL1013,VT-001,CCU,DEL,2026-04-03 23:27:00,2026-04-04 00:32:00,23,4,0,4,75,32.45,20.43,2592.36,57.92,0.38
FL1014,VT-001,DEL,BOM,2026-04-04 01:47:00,2026-04-04 03:46:00,1,5,1,4,52,31.33,11.62,2508.47,55.55,0.53
FL1015,VT-001,MAA,CCU,2026-04-04 12:38:00,2026-04-04 14:08:00,12,5,1,4,79,33.9,19.59,7100.46,84.36,0.63
FL1016,VT-001,CCU,DEL,2026-04-04 15:27:00,2026-04-04 16:50:00,15,5,1,4,68,31.45,20.22,6490.22,78.55,0.65
FL1017,VT-001,DEL,BOM,2026-04-04 17:58:00,2026-04-04 20:07:00,17,5,1,4,52,27.42,15.45,5420.33,41.27,0.38
